coordinate
"(-8.508256330982574, 115.43215514612842)"
"(-8.50825622495435, 115.44123759718222)"
"(-8.508256118926125, 115.45032004823352)"
"(-8.508256012897903, 115.45940249928232)"
"(-8.508255906869683, 115.46848495032862)"
"(-8.508255800841463, 115.47756740137243)"
"(-8.508255694813244, 115.48664985241373)"
"(-8.51609120992114, 115.0461512508769)"
"(-8.516091103793881, 115.05523388659942)"
"(-8.516090997666627, 115.06431652231944)"
"(-8.516090891539372, 115.07339915803696)"
"(-8.516090785412123, 115.08248179375197)"
"(-8.516090679284872, 115.09156442946447)"
"(-8.516090573157621, 115.10064706517447)"
"(-8.516090467030374, 115.10972970088197)"
"(-8.516090360903126, 115.11881233658697)"
"(-8.51609025477588, 115.12789497228947)"
"(-8.516090148648637, 115.13697760798946)"
"(-8.516090042521391, 115.14606024368696)"
"(-8.516089936394149, 115.15514287938196)"
"(-8.51608983026691, 115.16422551507443)"
"(-8.51608972413967, 115.17330815076441)"
"(-8.516089618012431, 115.18239078645189)"
"(-8.516089511885193, 115.19147342213687)"
"(-8.516089405757958, 115.20055605781934)"
"(-8.516089299630726, 115.20963869349931)"
"(-8.516089193503495, 115.21872132917679)"
"(-8.516089087376265, 115.22780396485176)"
"(-8.516088981249034, 115.23688660052423)"
"(-8.516088875121806, 115.2459692361942)"
"(-8.51608876899458, 115.25505187186165)"
"(-8.516088662867354, 115.2641345075266)"
"(-8.516088556740131, 115.27321714318906)"
"(-8.516088450612905, 115.28229977884901)"
"(-8.516088344485683, 115.29138241450646)"
"(-8.51608823835846, 115.3004650501614)"
"(-8.51608813223124, 115.30954768581385)"
"(-8.516088026104022, 115.3186303214638)"
"(-8.516087919976805, 115.32771295711125)"
"(-8.51608781384959, 115.33679559275618)"
"(-8.516087707722376, 115.3458782283986)"
"(-8.516087601595164, 115.35496086403853)"
"(-8.516087495467954, 115.36404349967596)"
"(-8.516087389340745, 115.37312613531088)"
"(-8.516087283213535, 115.38220877094331)"
"(-8.516087177086328, 115.39129140657323)"
"(-8.516087070959124, 115.40037404220065)"
"(-8.516086964831919, 115.40945667782557)"
"(-8.516086858704716, 115.41853931344798)"
"(-8.516086752577513, 115.42762194906788)"
"(-8.516086646450312, 115.43670458468529)"
"(-8.51608654032311, 115.44578722030019)"
"(-8.51608643419591, 115.45486985591259)"
"(-8.516086328068715, 115.46395249152249)"
"(-8.51608622194152, 115.47303512712989)"
"(-8.516086115814327, 115.48211776273479)"
"(-8.516086009687132, 115.49120039833718)"
"(-8.523921526472009, 115.04161002538213)"
"(-8.523921420245774, 115.050692845842)"
"(-8.52392131401954, 115.05977566629934)"
"(-8.52392120779331, 115.0688584867542)"
"(-8.52392110156708, 115.07794130720653)"
"(-8.523920995340852, 115.08702412765636)"
"(-8.523920889114624, 115.0961069481037)"
"(-8.523920782888396, 115.10518976854851)"
"(-8.52392067666217, 115.11427258899083)"
"(-8.523920570435946, 115.12335540943063)"
"(-8.523920464209723, 115.13243822986793)"
"(-8.523920357983503, 115.14152105030271)"
"(-8.523920251757282, 115.150603870735)"
"(-8.52392014553106, 115.15968669116478)"
"(-8.523920039304842, 115.16876951159205)"
"(-8.523919933078625, 115.17785233201681)"
"(-8.523919826852412, 115.18693515243906)"
"(-8.523919720626196, 115.19601797285881)"
"(-8.523919614399984, 115.20510079327605)"
"(-8.523919508173773, 115.21418361369078)"
"(-8.523919401947563, 115.223266434103)"
"(-8.523919295721354, 115.23234925451271)"
"(-8.523919189495148, 115.24143207491993)"
"(-8.523919083268943, 115.25051489532463)"
"(-8.523918977042737, 115.25959771572683)"
"(-8.523918870816534, 115.26868053612651)"
"(-8.523918764590332, 115.27776335652369)"
"(-8.523918658364133, 115.28684617691836)"
"(-8.523918552137935, 115.29592899731053)"
"(-8.523918445911736, 115.30501181770019)"
"(-8.52391833968554, 115.31409463808734)"
"(-8.523918233459346, 115.32317745847199)"
"(-8.52391812723315, 115.33226027885412)"
"(-8.523918021006958, 115.34134309923375)"
"(-8.523917914780768, 115.35042591961087)"
"(-8.523917808554575, 115.35950873998549)"
"(-8.523917702328387, 115.36859156035759)"
"(-8.523917596102201, 115.37767438072719)"
"(-8.523917489876016, 115.38675720109428)"
"(-8.52391738364983, 115.39584002145887)"
"(-8.523917277423648, 115.40492284182095)"
"(-8.523917171197464, 115.41400566218051)"
"(-8.523917064971284, 115.42308848253758)"
"(-8.523916958745106, 115.43217130289213)"
"(-8.52391685251893, 115.44125412324418)"
"(-8.523916746292755, 115.45033694359373)"
"(-8.523916640066581, 115.45941976394076)"
"(-8.523916533840408, 115.46850258428529)"
"(-8.523916427614235, 115.4775854046273)"
"(-8.523916321388063, 115.48666822496682)"
"(-8.531751839847313, 115.04615171298435)"
"(-8.531751733522096, 115.05523471835761)"
"(-8.531751627196881, 115.06431772372837)"
"(-8.531751520871667, 115.0734007290966)"
"(-8.531751414546454, 115.08248373446233)"
"(-8.531751308221242, 115.09156673982554)"
"(-8.53175120189603, 115.10064974518625)"
"(-8.53175109557082, 115.10973275054444)"
"(-8.531750989245612, 115.11881575590012)"
"(-8.531750882920406, 115.12789876125328)"
"(-8.5317507765952, 115.13698176660394)"
"(-8.531750670269995, 115.14606477195208)"
"(-8.53175056394479, 115.15514777729771)"
"(-8.53175045761959, 115.16423078264083)"
"(-8.53175035129439, 115.17331378798143)"
"(-8.53175024496919, 115.18239679331953)"
"(-8.531750138643995, 115.19147979865511)"
