lat,lon,index_right,featurecla,scalerank,min_zoom
-8.453445192793438,115.327665681944,9,Land,5.0,0.5
-8.453445087457913,115.33674684602468,9,Land,5.0,0.5
-8.453444982122386,115.34582801010288,9,Land,5.0,0.5
-8.453444876786863,115.35490917417864,9,Land,5.0,0.5
-8.453444771451341,115.36399033825192,9,Land,5.0,0.5
-8.45344466611582,115.37307150232272,9,Land,5.0,0.5
-8.4534445607803,115.38215266639106,9,Land,5.0,0.5
-8.45344445544478,115.39123383045694,9,Land,5.0,0.5
-8.453444350109264,115.40031499452036,9,Land,5.0,0.5
-8.453444244773747,115.4093961585813,9,Land,5.0,0.5
-8.453444139438234,115.4184773226398,9,Land,5.0,0.5
-8.45344403410272,115.4275584866958,9,Land,5.0,0.5
-8.453443928767207,115.43663965074936,9,Land,5.0,0.5
-8.453443823431696,115.44572081480044,9,Land,5.0,0.5
-8.453443718096187,115.45480197884906,9,Land,5.0,0.5
-8.45344361276068,115.46388314289524,9,Land,5.0,0.5
-8.453443507425172,115.47296430693892,9,Land,5.0,0.5
-8.453443402089665,115.48204547098015,9,Land,5.0,0.5
-8.461278905385228,115.04160928713736,9,Land,5.0,0.5
-8.461278799950714,115.05069063462646,9,Land,5.0,0.5
-8.461278694516198,115.05977198211308,9,Land,5.0,0.5
-8.461278589081685,115.06885332959726,9,Land,5.0,0.5
-8.461278483647174,115.07793467707896,9,Land,5.0,0.5
-8.461278378212661,115.08701602455818,9,Land,5.0,0.5
-8.461278272778152,115.09609737203492,9,Land,5.0,0.5
-8.461278167343643,115.1051787195092,9,Land,5.0,0.5
-8.461278061909136,115.11426006698105,9,Land,5.0,0.5
-8.461277956474628,115.12334141445038,9,Land,5.0,0.5
-8.461277851040123,115.13242276191724,9,Land,5.0,0.5
-8.46127774560562,115.14150410938166,9,Land,5.0,0.5
-8.46127764017112,115.1505854568436,9,Land,5.0,0.5
-8.46127753473662,115.15966680430306,9,Land,5.0,0.5
-8.461277429302124,115.16874815176006,9,Land,5.0,0.5
-8.461277323867625,115.17782949921458,9,Land,5.0,0.5
-8.46127721843313,115.18691084666663,9,Land,5.0,0.5
-8.461277112998635,115.19599219411624,9,Land,5.0,0.5
-8.461277007564144,115.20507354156337,9,Land,5.0,0.5
-8.46127690212965,115.214154889008,9,Land,5.0,0.5
-8.46127679669516,115.22323623645018,9,Land,5.0,0.5
-8.461276691260672,115.23231758388988,9,Land,5.0,0.5
-8.461276585826184,115.24139893132713,9,Land,5.0,0.5
-8.461276480391698,115.2504802787619,9,Land,5.0,0.5
-8.46127637495721,115.2595616261942,9,Land,5.0,0.5
